date,KD,SW,DD,inflasi ,KURS,Pertumbuhan  Ekonomi  Nasional ,Pertumbuhan Ekonomi Daerah
2017-01-01,575328000,9979027900.0,2209917000.0,1.39,13425.666666666666,5.07,6.25
2017-02-01,569076000,9759141700.0,2209618000.0,0.42,14079.61,5.07,6.25
2017-03-01,580662000,10058572400.0,2142945000.0,0.02,13415.2,5.07,6.25
2017-04-01,501777000,8701330800.0,1919522000.0,0.07,13367.0,5.1,5.92
2017-05-01,639033000,10902165800.0,2585780000.0,0.11,13390.1,5.1,5.92
2017-06-01,639033000,10902165800.0,2585780000.0,-0.01,13364.625,5.1,5.92
2017-07-01,708198000,11733674500.0,1659011750.0,0.12,13409.095238095239,5.2,6.18
2017-08-01,705111000,11807659700.0,1683043250.0,0.26,13408.818181818182,5.2,6.18
2017-09-01,648702000,10992065600.0,1592544000.0,-0.33,13370.0,5.2,6.18
2017-10-01,722199000,12136387600.0,1152304500.0,-0.05,13593.681818181818,5.19,4.01
2017-11-01,746553000,12575369700.0,1256076000.0,0.19,13595.363636363636,5.19,4.01
2017-12-01,784317000,13809586100.0,1866678250.0,1.07,13624.21052631579,5.19,4.01
2018-01-01,590601000,10350899700.0,1411138250.0,0.94,13447.363636363636,5.07,5.58
2018-02-01,573558000,9940689700.0,1385011750.0,0.65,13657.947368421053,5.07,5.58
2018-03-01,575424000,10049333300.0,1405230500.0,0.15,13827.285714285714,5.07,5.58
2018-04-01,607317000,10482406700.0,1527730750.0,0.07,13872.047619047618,5.05,6.05
2018-05-01,625842000,10620364700.0,1503750500.0,-0.03,14130.0,5.05,6.05
2018-06-01,579528000,9808963800.0,1359115500.0,0.38,14106.357142857143,5.05,6.05
2018-07-01,719814000,11936297600.0,1761568500.0,0.48,14486.636363636364,5.02,6.15
2018-08-01,750468000,12453570800.0,1252969750.0,0.23,14632.57142857143,5.02,6.15
2018-09-01,726006000,12186398700.0,1018547750.0,-0.52,14943.0,5.02,6.15
2018-10-01,779754000,13123996400.0,1163631000.0,-0.1,15254.739130434782,4.97,7.59
2018-11-01,849108000,14371252900.0,1432425750.0,0.34,14770.380952380952,4.97,7.59
2018-12-01,990498000,17250333400.0,3005109250.0,0.77,14569.473684210527,4.97,7.59
2019-01-01,679398000,11917484200.0,1956879000.0,0.62,14233.90909090909,5.06,6.01
2019-02-01,584679000,10293821700.0,1520155750.0,-0.43,14105.368421052632,5.06,6.01
2019-03-01,594684000,10250146800.0,1336141500.0,0.24,14282.1,5.06,6.01
2019-04-01,619608000,10732447400.0,1363335000.0,0.26,14213.315789473685,5.27,5.69
2019-05-01,732495000,12617964200.0,1702554000.0,0.22,14464.761904761905,5.27,5.69
2019-06-01,565170000,9478568900.0,1307553750.0,0.04,14297.733333333334,5.27,5.69
2019-07-01,714831000,12088101900.0,1520881000.0,0.6,14114.260869565218,5.17,5.34
2019-08-01,828789000,13755792200.0,1441374250.0,0.4,14313.045454545454,5.17,5.34
2019-09-01,831702000,13948658800.0,1426528250.0,-0.52,14181.57142857143,5.17,5.34
2019-10-01,815811000,13897407100.0,1389944500.0,0.15,14188.210000000001,5.18,5.51
2019-11-01,797385000,13884103600.0,1510093250.0,-0.01,14139.060000000003,5.18,5.51
2019-12-01,801546000,14428765600.0,2277374000.0,0.81,13416.704285714284,5.18,5.51
